"Algorithm","Hash","Path"
"SHA256","29AC3966FC989E7CEA90B16B1746E4D5E94E7734DC307A797E06C4761A4A3303","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","2EA3D6DF11450BDAE4203AD6E25586FD0EDE35345D89A975AFB2A3244D934F23","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","D7C30B9056F6E928991A89AC1A61D624F2ADA5D197ABF43ACC7B045599658031","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","728E3D96B402B61A0FCA0945ACBDD6587FA7FE97C2FFC005E8A05CC9F9E34B6D","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","72DAF37085EA21481A6B1E3A9D97474F66A89438998329348D6965FD64F83D7C","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","ADC1A8F5392614B56E8466677BF29ADA4CC6C699BCA778067BD3F3A05BC0B00B","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","9BE81671DBA01167A237C5D4638E33BD288DE488B98214F9763EC95FBB8EA721","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","1217F92798D385538C9DFE35FF868CC7AFEF4EC8C097C9199C7D8E85EC827254","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","FEB690B2168E66D21F8A7C2C2A618A10BFDD3F1727B5F0100B277D0DBA6F31AF","C:\LAB3\Evidence\start_time.txt"
